atom_id 	 atom_type 	 (bonded_atom_id, bond_order, arithmetic_avg_stress, absolute_geometric_avg_stress:q!, bond_distance) 
  1835 	   	   1 	  	    (1854 0.951000 909478.440753 7789696020631.335938 1.510187), (6279 0.905000 1108275.337763 6260977664733.472656 1.650826), (5867 0.928000 1173476.004430 5759594305892.039062 1.587614), (962 0.930000 646820.270210 9809498002827.003906 1.581770), 
  1836 	   	   2 	  	    (2081 0.931000 1125508.792913 8081264169432.256836 1.578173), (2578 0.943000 922592.753045 7297218214190.860352 1.537309), 
  1837 	   	   1 	  	    (6311 0.914000 1182630.750831 5116647835220.650391 1.627825), (4065 0.929000 1385948.341085 3597811704335.002930 1.584549), (6127 0.938000 224576.283499 12273567895683.642578 1.556225), (2661 0.926000 1226385.178295 4789790698878.932617 1.593364), 
  1838 	   	   1 	  	    (5445 0.940000 385815.176080 8944336114015.126953 1.551273), (3108 0.915000 995281.984496 4798368968867.992188 1.624165), (1296 0.925000 1115054.988372 3983599514505.701660 1.595397), (3695 0.942000 464982.928018 8405788495084.258789 1.547216), 
  1839 	   	   1 	  	    (1089 0.922000 1219373.120709 4868771025370.821289 1.606041), (860 0.912000 647979.641196 9143266168721.734375 1.634663), (699 0.918000 980395.780731 6656518900928.227539 1.617678), (862 0.923000 1018473.151717 6371668717673.894531 1.604350), 
  1840 	   	   1 	  	    (2541 0.940000 974011.207087 6052167857569.455078 1.549720), (5740 0.928000 919624.380952 6445920441824.072266 1.588249), (6318 0.933000 936305.063123 6325154767881.913086 1.574018), (6352 0.923000 493165.785161 9533417655827.369141 1.602817), 
  1841 	   	   1 	  	    (1846 0.884000 1410403.167220 5717374636457.039062 1.695498), (4420 0.927000 1105376.336656 8271353092973.902344 1.592198), (369 0.935000 1477574.963455 5154947652078.318359 1.566232), (5525 0.938000 975544.806202 9358427732087.695312 1.556710), 
  1842 	   	   1 	  	    (5214 0.682000 2059587.738649 8229139288486.782227 1.969666), (1062 0.629000 1942961.497231 9533259480880.414062 2.019560), (5135 0.929000 1908357.324474 9920204990618.246094 1.584083), (6703 0.726000 2056876.323367 8259458463457.652344 1.923737), (5886 0.886000 2098997.013289 7788462900385.199219 1.692471), 
  1843 	   	   2 	  	    (4566 0.933000 30924.367663 6728865979681.776367 1.574017), (2553 0.954000 112921.993355 7149229388492.985352 1.499603), 
  1844 	   	   2 	  	    (2257 0.944000 954164.465116 9658670539855.873047 1.536532), (917 0.936000 1182444.243632 10707319731560.140625 1.563843), 
  1845 	   	   2 	  	    (2580 0.935000 1059554.551495 8431674827544.957031 41.641384), (4964 0.930000 134493.838317 4673239210256.357422 1.580815), 
  1846 	   	   2 	  	    (2468 0.931000 622930.423034 3566510463036.913574 1.579236), (1841 0.884000 1410403.167220 5717374636457.039062 1.695498), 
  1847 	   	   2 	  	    (5251 0.933000 337010.392027 7970234014029.537109 41.714943), (5331 0.931000 792210.710963 10251874438707.746094 1.577482), 
  1848 	   	   1 	  	    (1884 0.960000 860582.582503 6699004853452.794922 1.486731), (1966 0.943000 806190.954596 7089335158139.523438 1.539510), (652 0.912000 735255.007752 7598392357018.681641 1.632726), (203 0.938000 719733.590255 7709778609903.514648 1.556381), 
  1849 	   	   1 	  	    (798 0.946000 1437554.041528 6020398308710.168945 1.528268), (4429 0.923000 1134066.728682 8619046121910.289062 1.604172), (4508 0.926000 1265441.763012 7494131072021.749023 1.593817), (1734 0.922000 908282.347730 10552352929085.597656 40.993347), 
  1850 	   	   1 	  	    (3742 0.931000 1284272.599114 5523981566960.030273 1.581066), (3549 0.932000 827846.954596 9141229045005.513672 1.575446), (2453 0.917000 817454.440753 9223591407724.863281 1.620240), (1099 0.927000 1048892.137320 7389410015232.756836 1.592175), 
  1851 	   	   2 	  	    (2571 0.924000 1585811.258029 8291161309944.804688 1.598940), (5129 0.940000 1306049.184939 7339169838293.032227 1.550290), 
  1852 	   	   2 	  	    (2836 0.930000 625540.088594 4227991335384.362793 1.581211), (3605 0.922000 518500.327796 3901795440917.548828 1.604829), 
  1853 	   	   2 	  	    (18 0.929000 1586021.377630 8655989470709.900391 1.585704), (6187 0.934000 1117014.245847 7008507156989.847656 1.570633), 
  1854 	   	   2 	  	    (1110 0.931000 942172.447398 7922170057041.598633 1.580461), (1835 0.951000 909478.440753 7789696020631.335938 1.510187), 
  1855 	   	   2 	  	    (5435 0.931000 1189912.624585 6842156017494.561523 1.580227), (2164 0.950000 1005230.631229 6220232258924.409180 1.513768), 
  1856 	   	   2 	  	    (2026 0.927000 920927.344408 11374082148008.943359 1.592021), (3713 0.918000 661015.937984 10035487751276.996094 1.615857), 
  1857 	   	   1 	  	    (3426 0.916000 1117514.826135 5104470505705.740234 1.621890), (3477 0.926000 829628.194906 7199186674533.053711 1.595408), (6105 0.930000 764258.817276 7674826309771.833008 1.582798), (2053 0.938000 1076745.187154 5401117910298.540039 1.554706), 
  1858 	   	   1 	  	    (2134 0.939000 751229.342193 8552982802140.535156 1.552699), (3384 0.933000 688105.576966 9029026984125.851562 1.572733), (1676 0.933000 841109.014396 7875160513221.776367 1.571797), (2230 0.949000 599467.233666 9697487863749.875000 1.518532), 
  1859 	   	   1 	  	    (990 0.936000 1488224.892580 6665216387338.645508 1.564228), (781 0.923000 1608955.357697 5586329649883.847656 1.603352), (5736 0.912000 1231288.407530 8961284457825.527344 1.632417), (2566 0.940000 1124468.713178 9915860019383.437500 1.552703), 
  1860 	   	   2 	  	    (6170 0.943000 930738.108527 8811518124895.287109 1.537410), (2740 0.916000 1258918.945736 10242502618127.398438 1.621568), 
  1861 	   	   2 	  	    (1777 0.945000 30907.960133 8220777542015.183594 1.531861), (2529 0.938000 259824.691030 9519398559971.648438 1.557055), 
  1862 	   	   2 	  	    (2073 0.941000 1042583.362126 9596076131818.710938 1.544889), (3671 0.943000 666319.920266 7921018171045.267578 1.539658), 
  1863 	   	   2 	  	    (6658 0.912000 892819.153931 3796320630075.240234 1.631737), (791 0.910000 942243.207087 3919921647330.534180 1.636712), 
  1864 	   	   2 	  	    (1047 0.934000 1839903.689922 6539116285189.165039 1.569724), (1633 0.919000 1125139.853821 4665874900383.970703 1.613678), 
  1865 	   	   2 	  	    (3044 0.952000 1512122.400886 2769863231922.573730 1.506050), (6587 0.553000 2158491.747508 3721986747835.578613 2.085714), 
  1866 	   	   1 	  	    (4469 0.883000 1838983.177187 4451582587210.115234 1.698026), (2077 0.934000 1300915.933555 9442491820882.066406 1.571012), (4610 0.929000 1751306.595792 5264837556438.164062 1.584197), (4416 0.948000 1870892.305648 4155605521596.945312 1.520423), 
  1867 	   	   1 	  	    (3544 0.936000 1214325.200443 7844309083575.056641 1.564780), (3535 0.930000 1146336.737542 8424524214933.329102 1.581508), (2423 0.930000 815362.108527 11249069434145.478516 1.581084), (3106 0.913000 1580017.001107 4723486710126.814453 1.629176), 
  1868 	   	   1 	  	    (5975 0.922000 289079.689922 4562238424650.842773 1.606959), (6081 0.948000 78249.532669 5592984009578.354492 1.520718), (1158 0.926000 295959.052049 7422484359832.741211 1.593833), (1784 0.931000 9558.290144 6022275183409.668945 1.578596), 
  1869 	   	   2 	  	    (2379 0.949000 517053.767442 11263903593492.248047 1.518523), (5274 0.906000 963935.149502 13836792220373.335938 1.648147), 
  1870 	   	   2 	  	    (1291 0.936000 871449.685493 9735542434432.861328 1.564580), (6129 0.928000 660954.819491 8738578143308.604492 1.589431), 
  1871 	   	   2 	  	    (1480 0.927000 1508431.592470 5253698328246.342773 1.590799), (5611 0.919000 1632853.723145 5561141042525.429688 1.613958), 
  1872 	   	   2 	  	    (3025 0.915000 886778.574751 6099868124423.403320 1.623654), (6563 0.935000 744078.065338 5604016137082.166992 1.566676), 
  1873 	   	   2 	  	    (4221 0.928000 1153476.305648 9238729415345.179688 1.589561), (4897 0.947000 1415906.214839 10339654371343.056641 1.525876), 
  1874 	   	   2 	  	    (6035 0.935000 59561.054264 6234071022018.065430 1.567888), (2531 0.915000 1228204.296788 11932285314914.134766 1.624140), 
  1875 	   	   1 	  	    (5687 0.938000 1641564.509413 6176571707288.465820 1.557114), (5469 0.941000 1836134.644518 4378728779364.600586 1.545979), (6323 0.938000 813254.414175 13830220331454.507812 1.557468), (4705 0.892000 1505118.033223 7437347581892.962891 1.679803), 
  1876 	   	   2 	  	    (4697 0.916000 1426362.967885 3778799594207.833008 1.622743), (3995 0.926000 1764034.551495 4443822093853.689453 42.155849), 
  1877 	   	   2 	  	    (5345 0.932000 1321925.439646 8818614856502.125000 1.574165), (4613 0.919000 859988.854928 7036806616443.557617 1.613454), 
  1878 	   	   2 	  	    (6099 0.933000 1550827.517165 8422052132440.202148 1.571652), (5233 0.930000 390676.522702 4385582557366.987793 1.583106), 
  1879 	   	   1 	  	    (4993 0.910000 553901.067553 4086442994873.810547 1.639033), (4281 0.885000 615052.279070 3762352699425.569336 1.693984), (5115 0.936000 647730.135105 3589166007708.639648 1.562742), (978 0.932000 82195.942414 7457641418898.646484 1.577668), 
  1880 	   	   1 	  	    (5973 0.922000 713163.955703 5246693112504.530273 1.606465), (2057 0.900000 1045738.188261 3176628872635.945312 1.662186), (4529 0.935000 78696.168328 10175521522107.583984 1.565189), (4307 0.930000 755198.928018 4985051997548.590820 1.580834), 
  1881 	   	   1 	  	    (4921 0.945000 100164.394241 6859126651274.925781 1.533573), (2508 0.936000 109258.418605 7998835985731.879883 1.563620), (6709 0.914000 283783.636766 5859844090566.583984 1.628001), (6531 0.922000 266342.910299 5954759054626.101562 1.605066), 
  1882 	   	   2 	  	    (2185 0.912000 1775880.699889 5710899418395.339844 1.632111), (579 0.935000 360955.676633 2310903093073.099609 1.565051), 
  1883 	   	   2 	  	    (4252 0.954000 112485.036545 5103660924990.360352 1.501219), (4823 0.922000 530317.435216 6899873917959.660156 1.607359), 
  1884 	   	   2 	  	    (1848 0.960000 860582.582503 6699004853452.794922 1.486731), (2417 0.923000 941230.502769 7000141245460.453125 1.605077), 
  1885 	   	   2 	  	    (5499 0.928000 764174.972315 8401416427763.635742 1.586961), (156 0.916000 840184.221484 8740932617396.111328 1.620947), 
  1886 	   	   2 	  	    (5946 0.941000 57997.599114 9703713304750.462891 1.545351), (2551 0.943000 663669.014396 5859376509355.723633 1.537797), 
  1887 	   	   2 	  	    (3194 0.896000 1543072.992248 5962116753007.272461 1.670797), (5794 0.924000 1391736.664452 5554905426846.222656 1.598562), 
  1888 	   	   1 	  	    (2097 0.932000 808814.352159 8394254300898.436523 1.577179), (6186 0.943000 730821.944629 8989628999941.742188 1.539525), (4644 0.908000 1134205.058693 5910302335466.550781 40.737339), (2096 0.947000 881012.217054 7843113703443.184570 1.523290), 
